date,truck_id,driver_id,origin,destination,miles,fuel_gallons,fuel_cost,revenue,load_weight,hours_driven,maintenance_cost
2024-01-01,TRUCK-007,DRIVER-026,Dallas,New York,245.0,35.44,137.1,668.53,32896,3.9,175.18
2024-01-01,TRUCK-012,DRIVER-028,Dallas,New York,302.2,49.08,177.52,667.57,24878,5.2,0.0
2024-01-02,TRUCK-007,DRIVER-015,New York,Phoenix,240.0,33.06,126.39,486.56,29113,5.6,0.0
2024-01-03,TRUCK-006,DRIVER-004,Phoenix,New York,332.3,61.71,197.79,626.26,27822,6.0,0.0
2024-01-03,TRUCK-013,DRIVER-028,Seattle,Atlanta,377.4,62.17,212.22,732.77,24782,7.2,0.0
2024-01-04,TRUCK-008,DRIVER-007,Seattle,Phoenix,403.1,55.64,196.97,863.35,20518,7.5,0.0
2024-01-05,TRUCK-005,DRIVER-005,Dallas,Atlanta,381.3,50.26,187.59,991.73,20331,6.1,0.0
2024-01-06,TRUCK-009,DRIVER-007,Atlanta,Denver,238.5,35.25,120.02,513.21,33971,3.9,0.0
2024-01-06,TRUCK-007,DRIVER-002,Houston,Seattle,447.8,73.58,261.07,928.89,24474,9.9,0.0
2024-01-07,TRUCK-020,DRIVER-025,Seattle,Denver,309.7,58.16,207.9,661.32,18253,6.9,0.0
2024-01-08,TRUCK-009,DRIVER-027,Miami,Phoenix,494.5,77.54,273.2,971.18,20285,7.2,0.0
2024-01-09,TRUCK-020,DRIVER-024,Atlanta,Atlanta,381.8,103.01,366.76,920.14,24678,6.5,21.16
2024-01-09,TRUCK-001,DRIVER-023,Denver,New York,242.5,32.5,124.63,545.06,21123,3.9,0.0
2024-01-10,TRUCK-005,DRIVER-001,Seattle,Miami,440.5,57.86,204.23,1003.03,28948,7.4,0.0
2024-01-11,TRUCK-004,DRIVER-020,Seattle,Atlanta,300.9,48.48,189.65,548.26,27140,9.9,0.0
2024-01-11,TRUCK-011,DRIVER-026,Seattle,Denver,221.7,35.51,140.39,403.27,16963,3.9,113.76
2024-01-12,TRUCK-005,DRIVER-016,Dallas,Denver,285.3,42.94,171.38,535.61,26252,4.9,0.0
2024-01-13,TRUCK-011,DRIVER-025,Chicago,Chicago,385.4,48.59,189.12,844.96,10603,8.2,0.0
2024-01-14,TRUCK-004,DRIVER-008,New York,Dallas,202.5,28.41,114.75,397.52,29110,2.7,22.92
2024-01-14,TRUCK-014,DRIVER-027,Chicago,Los Angeles,331.6,50.64,201.44,742.63,38672,5.9,0.0
2024-01-15,TRUCK-005,DRIVER-017,Los Angeles,Miami,299.5,57.13,235.36,715.54,24379,4.8,0.0
2024-01-16,TRUCK-003,DRIVER-018,Seattle,Houston,205.0,34.05,126.73,335.83,25866,3.5,0.0
